               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12462,            0.064015,            0.090112,             0.61425,           0.0041667,           0.0018135,          0.00052782,             0.12624,            0.040307,            0.094123,                   0,                   0,                 0.1
                   1,             0.12489,            0.047837,            0.091323,             0.61417,           0.0041324,           0.0018122,           0.0004348,             0.12601,            0.040605,            0.093853,          9.9978e-06,          9.9978e-06,             0.09991
