               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12462,            0.064015,            0.090112,             0.61425,           0.0041667,           0.0018135,          0.00052782,             0.12624,            0.040307,            0.094123,                   0,                   0,                 0.1
                   1,             0.12489,            0.047837,            0.091323,             0.61417,           0.0041336,           0.0018122,           0.0004348,             0.12601,            0.040605,            0.093853,          9.1406e-06,          9.1406e-06,            0.099909
                   2,             0.12372,            0.048246,            0.090823,             0.61301,           0.0041667,           0.0018025,          0.00043217,             0.12576,            0.040642,            0.093703,          1.3781e-05,          1.3781e-05,            0.099814
                   3,             0.12479,            0.053967,            0.089939,             0.61329,           0.0041667,           0.0017989,          0.00044177,             0.12548,            0.040693,            0.093543,          1.2328e-05,          1.2328e-05,            0.099712
                   4,             0.12437,            0.049035,            0.090919,             0.61404,           0.0041667,           0.0017961,          0.00051477,             0.12518,             0.04074,            0.093398,          7.4377e-06,          7.4377e-06,            0.099607
