               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11572,            0.065421,            0.064234,          0.00031308,            0.027778,          0.00022862,          2.8526e-05,             0.11442,            0.054733,            0.064511,               4e-05,               4e-05,             0.09964
                   1,             0.11551,            0.056689,             0.06444,          0.00055573,            0.035714,          0.00034704,          4.0493e-05,               0.114,            0.054608,             0.06442,          8.2265e-05,          8.2265e-05,            0.099182
                   2,             0.11467,            0.062733,            0.064091,          0.00068921,             0.04806,          0.00044125,          8.3729e-05,             0.11344,            0.054624,            0.064315,          9.6468e-05,          9.6468e-05,            0.098696
                   3,             0.11473,            0.059203,            0.063961,          0.00093115,            0.060406,          0.00062151,          0.00012057,             0.11294,            0.054668,            0.064222,          7.8079e-05,          7.8079e-05,            0.098178
                   4,             0.11422,            0.056724,            0.063741,           0.0010666,             0.04321,          0.00071674,          0.00011836,             0.11254,            0.054647,            0.064153,          4.4626e-05,          4.4626e-05,            0.097645
