               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11856,            0.068945,            0.085155,           0.0020448,           0.0041667,          0.00026448,          2.6448e-05,             0.12008,            0.054513,            0.086386,               4e-05,               4e-05,             0.09964
                   1,             0.11741,             0.05954,            0.086614,           0.0020982,           0.0041667,          0.00026247,          2.6247e-05,             0.11958,            0.054442,            0.086135,          8.2265e-05,          8.2265e-05,            0.099182
                   2,              0.1191,             0.05991,             0.08663,                   0,                   0,                   0,                   0,             0.11915,             0.05431,            0.085935,          9.6468e-05,          9.6468e-05,            0.098696
                   3,             0.11872,            0.060781,             0.08483,                   0,                   0,                   0,                   0,             0.11879,            0.054105,            0.085694,          7.8079e-05,          7.8079e-05,            0.098178
                   4,             0.11896,            0.052033,             0.08349,                   0,                   0,                   0,                   0,             0.11842,            0.053985,            0.085504,          4.4626e-05,          4.4626e-05,            0.097645
