               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12069,            0.074062,            0.086766,             0.20372,           0.0041667,          0.00035623,          3.5623e-05,             0.12017,            0.052769,            0.087642,                   0,                   0,                 0.1
                   1,             0.11943,            0.055844,            0.086286,             0.20328,           0.0041667,          0.00032695,           6.539e-05,             0.11998,            0.052624,            0.087329,          9.1406e-06,          9.1406e-06,            0.099909
                   2,             0.11776,            0.065969,            0.086677,             0.20291,           0.0041667,          0.00032572,          3.2572e-05,             0.11979,            0.052393,            0.087222,          1.3781e-05,          1.3781e-05,            0.099814
                   3,             0.11686,            0.058222,            0.084925,             0.10271,           0.0041667,          0.00031365,          3.1365e-05,              0.1196,            0.052119,            0.087103,          1.2328e-05,          1.2328e-05,            0.099712
                   4,             0.11745,            0.058424,            0.086904,             0.10277,           0.0041667,          0.00030351,          3.0351e-05,             0.11939,            0.051863,            0.086996,          7.4377e-06,          7.4377e-06,            0.099607
